pattern,n
Three_Barcode_Reverse,100938
Three_Barcode,54467
Three_Barcode Five_Barcode_Reverse,39585
Five_Barcode Three_Barcode_Reverse,11370
Three_Barcode_Reverse Three_Barcode_Reverse,6467
Three_Barcode Three_Barcode,2545
Three_Barcode_Reverse Five_Barcode_Reverse,2345
Five_Barcode_Reverse,2309
Five_Barcode_Reverse Three_Barcode_Reverse,2154
Five_Barcode,2005
Three_Barcode Five_Barcode_Reverse Three_Barcode Five_Barcode_Reverse,1394
Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse,475
Three_Barcode Three_Barcode Five_Barcode_Reverse,452
Five_Barcode Three_Barcode_Reverse Three_Barcode_Reverse,406
Three_Barcode Five_Barcode_Reverse Three_Barcode,305
Five_Barcode Five_Barcode Three_Barcode_Reverse,202
Three_Barcode_Reverse Five_Barcode,178
Three_Barcode_Reverse Three_Barcode_Reverse Five_Barcode_Reverse,171
Five_Barcode Three_Barcode,115
Five_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse,106
Three_Barcode Three_Barcode Three_Barcode,105
Three_Barcode Five_Barcode,87
Three_Barcode_Reverse Five_Barcode Three_Barcode_Reverse,84
Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse,70
Five_Barcode_Reverse Three_Barcode,69
Three_Barcode_Reverse Five_Barcode_Reverse Five_Barcode_Reverse,69
Three_Barcode_Reverse Five_Barcode_Reverse Three_Barcode_Reverse,67
Five_Barcode Three_Barcode_Reverse Five_Barcode,63
Five_Barcode Three_Barcode_Reverse Five_Barcode Three_Barcode_Reverse,50
Five_Barcode_Reverse Five_Barcode_Reverse Three_Barcode_Reverse,49
Five_Barcode_Reverse Three_Barcode_Reverse Five_Barcode_Reverse,41
Three_Barcode Five_Barcode_Reverse Five_Barcode_Reverse,34
Three_Barcode Five_Barcode_Reverse Three_Barcode Five_Barcode_Reverse Three_Barcode Five_Barcode_Reverse,27
Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse,18
Adapter,17
Five_Barcode_Reverse Three_Barcode Five_Barcode_Reverse,16
Three_Barcode Three_Barcode Three_Barcode Five_Barcode_Reverse,13
Three_Barcode_Reverse Three_Barcode_Reverse Five_Barcode,12
Five_Barcode Five_Barcode Three_Barcode_Reverse Three_Barcode_Reverse,11
Five_Barcode Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse,11
Three_Barcode Five_Barcode_Reverse Three_Barcode Three_Barcode Five_Barcode_Reverse,10
Three_Barcode Three_Barcode Three_Barcode Three_Barcode,10
Three_Barcode Five_Barcode_Reverse Three_Barcode Three_Barcode,8
Three_Barcode Three_Barcode Five_Barcode_Reverse Three_Barcode Five_Barcode_Reverse,8
Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse,8
Three_Barcode_Reverse Five_Barcode_Reverse Five_Barcode_Reverse Three_Barcode_Reverse,7
Three_Barcode_Reverse Five_Barcode_Reverse Three_Barcode_Reverse Five_Barcode_Reverse,7
Three_Barcode_Reverse Five_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse,7
Three_Barcode_Reverse Three_Barcode_Reverse Five_Barcode_Reverse Five_Barcode_Reverse,7
Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Five_Barcode_Reverse,7
Three_Barcode Three_Barcode Five_Barcode_Reverse Three_Barcode,6
Three_Barcode_Reverse Five_Barcode_Reverse Five_Barcode_Reverse Five_Barcode_Reverse,6
Adapter_Reverse,5
Five_Barcode Five_Barcode Five_Barcode Three_Barcode_Reverse,5
Five_Barcode Three_Barcode Three_Barcode,5
Five_Barcode Three_Barcode_Reverse Three_Barcode_Reverse Five_Barcode,5
Three_Barcode Five_Barcode_Reverse Five_Barcode_Reverse Five_Barcode_Reverse,5
Three_Barcode_Reverse Three_Barcode_Reverse Five_Barcode Three_Barcode_Reverse,5
Adapter Three_Barcode_Reverse,4
Adapter_Reverse Three_Barcode_Reverse,4
Five_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Five_Barcode_Reverse,4
Three_Barcode Three_Barcode Five_Barcode,4
Three_Barcode_Reverse Five_Barcode Three_Barcode_Reverse Three_Barcode_Reverse,4
Five_Barcode Five_Barcode,3
Five_Barcode_Reverse Five_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse,3
Five_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Five_Barcode_Reverse Three_Barcode_Reverse,3
Five_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse Three_Barcode_Reverse,3
Three_Barcode Adapter_Reverse,3
Three_Barcode_Reverse Five_Barcode_Reverse Five_Barcode_Reverse Three_Barcode_Reverse Five_Barcode_Reverse,3
