ZMW,region,start,stop,y
4194532,CCS,0,1313,100
4194532,Five_Barcode_Reverse,1289,1313,75
4194532,Three_Barcode,1,71,50
4194532,Three_Barcode,1,73,50
4194565,CCS,0,2584,100
4194565,Five_Barcode_Reverse,2560,2584,75
4194565,Three_Barcode,1,71,50
4194634,CCS,0,1038,100
4194634,Five_Barcode_Reverse,1014,1038,75
4194634,Three_Barcode,1,71,50
4194656,CCS,0,250,100
4194656,Three_Barcode,1,78,50
4194660,CCS,0,1010,100
4194660,Three_Barcode,2,84,50
4194723,CCS,0,3085,100
4194723,Five_Barcode_Reverse,3061,3085,75
4194723,Three_Barcode_Reverse,3014,3085,50
4194784,CCS,0,993,100
4194784,Five_Barcode_Reverse,969,993,75
4194784,Three_Barcode,1,71,50
4194786,CCS,0,1515,100
4194786,Five_Barcode_Reverse,1489,1514,75
4194786,Three_Barcode,1,72,50
4194789,CCS,0,1205,100
4194789,Five_Barcode_Reverse,1172,1196,75
4194789,Three_Barcode,1,78,50
4194818,CCS,0,1136,100
4194858,CCS,0,510,100
4194858,Five_Barcode_Reverse,486,510,75
4194858,Three_Barcode_Reverse,440,510,50
4194967,CCS,0,2233,100
4195105,CCS,0,221,100
4195105,Three_Barcode,1,75,50
4259993,CCS,0,1861,100
4259993,Five_Barcode_Reverse,1837,1861,75
4259993,Three_Barcode,1,73,50
4260000,CCS,0,1032,100
4260000,Five_Barcode_Reverse,1008,1032,75
4260000,Three_Barcode,1,71,50
4260006,CCS,0,916,100
4260006,Five_Barcode,2,27,75
4260042,CCS,0,778,100
4260042,Five_Barcode_Reverse,751,778,75
4260042,Three_Barcode_Reverse,680,757,50
4260070,CCS,0,712,100
4260070,Three_Barcode_Reverse,589,671,50
4260084,CCS,0,520,100
4260084,Five_Barcode,2,26,75
4260084,Three_Barcode,2,72,50
4260084,Three_Barcode,2,78,50
4260095,CCS,0,2507,100
4260095,Five_Barcode_Reverse,1742,1768,75
4260095,Three_Barcode,1,75,50
4260098,CCS,0,1702,100
4260098,Five_Barcode,1,25,75
4260098,Three_Barcode,1,72,50
4260117,CCS,0,2708,100
4260117,Five_Barcode_Reverse,2684,2708,75
4260117,Three_Barcode,1,71,50
4260122,CCS,0,1373,100
4260122,Five_Barcode_Reverse,1349,1373,75
4260122,Three_Barcode,1,73,50
4260141,CCS,0,361,100
4260141,Five_Barcode_Reverse,337,361,75
4260141,Three_Barcode,1,70,50
4260143,CCS,0,2144,100
4260143,Five_Barcode_Reverse,2120,2144,75
4260143,Three_Barcode,1,71,50
4260171,CCS,0,4129,100
4260218,CCS,0,1065,100
4260218,Five_Barcode_Reverse,1041,1065,75
4260218,Three_Barcode_Reverse,995,1065,50
4260240,CCS,0,1676,100
4260240,Five_Barcode_Reverse,957,981,75
4260240,Five_Barcode_Reverse,1652,1676,75
4260240,Three_Barcode_Reverse,1606,1676,50
4260250,CCS,0,868,100
4260250,Three_Barcode_Reverse,791,871,50
4260253,CCS,0,951,100
4260253,Five_Barcode,1,26,75
4260253,Three_Barcode,1,74,50
4260258,CCS,0,2216,100
4260258,Five_Barcode_Reverse,2192,2216,75
4260258,Three_Barcode,3,75,50
4260296,CCS,0,871,100
4260296,Five_Barcode_Reverse,847,871,75
4260296,Three_Barcode,1,71,50
4260382,CCS,0,312,100
4260382,Five_Barcode,2,31,75
4260398,CCS,0,2626,100
4260398,Five_Barcode_Reverse,1718,1743,75
4260398,Three_Barcode,1744,1822,50
4260421,CCS,0,1768,100
4260437,CCS,0,469,100
4260437,Five_Barcode_Reverse,445,469,75
4260437,Three_Barcode,1,75,50
4260461,CCS,0,800,100
4260489,CCS,0,1603,100
4260489,Five_Barcode_Reverse,1579,1603,75
4260489,Three_Barcode_Reverse,1532,1603,50
4260492,CCS,0,1747,100
4260492,Five_Barcode,2,26,75
4260492,Three_Barcode,2,73,50
4260496,CCS,0,1697,100
4260496,Five_Barcode_Reverse,1673,1697,75
4260496,Three_Barcode,35,116,50
4260533,CCS,0,270,100
4260538,CCS,0,1648,100
4260588,CCS,0,2148,100
4260588,Three_Barcode_Reverse,2082,2155,50
4260639,CCS,0,1067,100
4260639,Five_Barcode_Reverse,1042,1068,75
4260639,Three_Barcode_Reverse,993,1069,50
4260687,CCS,0,1109,100
4260687,Five_Barcode_Reverse,1084,1109,75
4260687,Three_Barcode_Reverse,1035,1109,50
4260738,CCS,0,4613,100
4260738,Five_Barcode_Reverse,1872,1896,75
4260738,Five_Barcode_Reverse,2692,2716,75
4260738,Three_Barcode_Reverse,1826,1896,50
4260738,Three_Barcode_Reverse,2646,2716,50
4260758,CCS,0,1137,100
4260758,Five_Barcode,1,26,75
4260758,Three_Barcode,1,85,50
4325507,CCS,0,477,100
4325507,Three_Barcode_Reverse,408,481,50
4325518,CCS,0,452,100
4325518,Five_Barcode_Reverse,428,452,75
4325518,Three_Barcode_Reverse,383,453,50
4325528,CCS,0,2523,100
4325528,Five_Barcode_Reverse,1468,1492,75
4325528,Five_Barcode_Reverse,2499,2523,75
4325528,Three_Barcode_Reverse,1422,1492,50
4325529,CCS,0,805,100
4325529,Five_Barcode_Reverse,781,805,75
4325529,Three_Barcode_Reverse,735,805,50
4325538,CCS,0,1228,100
